date,Series ID.x,ppi,ppi_1mon,ppi_3mon,ppi_3mon_annualized,ppi_12mon,ppi_sma,all_items,all_items_monthly,all_items_3mon,all_items_3mon_annualized,all_items_12mon,core_items,core_items_monthly,core_items_3mon,core_items_3mon_annualized,core_items_12mon,...13,...14,...15,all_items_sma,core_items_sma,Series ID.y,cpi,cpi_1mon,cpi_3mon,cpi_3mon_annualized,cpi_12mon,cpi_sma,zero_based_ppi,zero_based_all_items,zero_based_core_items,zero_based_cpi,ppi_norm,all_items_norm,core_norm,cpi_norm
2010-01-01,WPSFD4,101.2,0.9,N/A,N/A,N/A,NA,90.136,0.219,0.528,2.11,2.302,89.368,0.148,0.321,1.284,1.691,NA,NA,NA,0.22675,0.17225,CUSR0000SA0,217.488,0.1,0.5,2,2.6,NA,0,0,0,0,0.004800998607710474,6.392431361253359e-5,0,0.0031569863342908494
2010-02-01,WPSFD4,101,-0.2,0.8,3.2,N/A,NA,90.134,-0.002,0.275,1.099,2.116,89.446,0.087,0.321,1.283,1.699,NA,NA,NA,0.13125,0.102,CUSR0000SA0,217.281,-0.1,0,0,2.2,NA,-0.20000000000000284,-0.001999999999995339,0.07800000000000296,-0.20699999999999363,0,0,0.00252214964754585,8.957539079994497e-4
2010-03-01,WPSFD4,101.1,0.1,0.8,3.2,N/A,NA,90.261,0.141,0.358,1.432,2.373,89.579,0.149,0.384,1.537,1.777,NA,NA,NA,0.104,0.11725,CUSR0000SA0,217.353,0,0,0,2.3,NA,-0.10000000000000853,0.125,0.21099999999999852,-0.1349999999999909,0.002400499303855066,0.004059193914405194,0.006822738149130134,0.0016822695345356429
2010-04-01,WPSFD4,101.4,0.3,0.2,0.8,N/A,0.27499999999999997,90.31,0.054,0.193,0.772,2.282,89.625,0.051,0.288,1.15,1.603,NA,NA,NA,0.103,0.10875,CUSR0000SA0,217.403,0,0,0,2.2,0,0.20000000000000284,0.1740000000000066,0.257000000000005,-0.08500000000000796,0.009601997215420948,0.005625339597916128,0.008310159736144506,0.0022284609418522366
2010-05-01,WPSFD4,101.6,0.2,0.6,2.4,N/A,0.09999999999999999,90.339,0.032,0.227,0.91,2.208,89.724,0.11,0.311,1.243,1.637,NA,NA,NA,0.056249999999999994,0.09924999999999999,CUSR0000SA0,217.29,-0.1,0,0,2,-0.05,0.3999999999999915,0.20300000000000296,0.35600000000000875,-0.1980000000000075,0.014402995823131079,0.006552242145299909,0.011511349673414238,9.940683613163187e-4
2010-06-01,WPSFD4,101.4,-0.2,0.3,1.2,N/A,0.09999999999999999,90.301,-0.042,0.044,0.177,1.562,89.767,0.048,0.21,0.839,1.556,NA,NA,NA,0.04625,0.0895,CUSR0000SA0,217.199,0,-0.1,-0.4,1.1,-0.025,0.20000000000000284,0.16500000000000625,0.3990000000000009,-0.28899999999998727,0.009601997215420948,0.005337680186659046,0.012901765504753311,0
2010-07-01,WPSFD4,101.6,0.2,0.2,0.8,N/A,0.125,90.378,0.085,0.075,0.301,1.637,89.769,0.002,0.161,0.643,1.471,NA,NA,NA,0.03225,0.05275,CUSR0000SA0,217.605,0.2,0.1,0.4,1.3,0.02500000000000001,0.3999999999999915,0.24200000000000443,0.40100000000001046,0.11699999999999022,0.014402995823131079,0.007798766260747266,0.012966436008536844,0.004435074227412008
2010-08-01,WPSFD4,101.8,0.2,0.2,0.8,N/A,0.1,90.502,0.137,0.18,0.722,1.482,89.855,0.096,0.146,0.584,1.418,NA,NA,NA,0.053000000000000005,0.064,CUSR0000SA0,217.923,0.1,0.3,1.2,1.2,0.05,0.5999999999999943,0.36599999999999966,0.487000000000009,0.4350000000000023,0.019203994430841552,0.011762073704733433,0.015747267671215447,0.00790885157794686
2010-09-01,WPSFD4,102.1,0.3,0.7,2.8,N/A,0.125,90.592,0.099,0.322,1.289,1.42,89.906,0.057,0.155,0.619,1.297,NA,NA,NA,0.06975,0.05075,CUSR0000SA0,218.275,0.2,0.5,2,1.1,0.125,0.8999999999999915,0.45600000000000307,0.5380000000000109,0.7870000000000061,0.02640549234240709,0.014638667817304258,0.017396365517687733,0.011754039085457035
2010-10-01,WPSFD4,102.5,0.4,0.9,3.6,N/A,0.275,90.881,0.319,0.557,2.226,1.358,90.043,0.152,0.305,1.221,1.079,NA,NA,NA,0.16,0.07675,CUSR0000SA0,219.035,0.3,0.7,2.8,1.2,0.2,1.2999999999999972,0.7450000000000045,0.6750000000000114,1.546999999999997,0.03600748955782804,0.023875731134336938,0.021826295026838624,0.020056148476671993
