year,month,all_items,all_items_monthly,all_items_3mon,all_items_3mon_annualized,all_items_12mon,core_items,core_items_monthly,core_items_3mon,core_items_3mon_annualized,core_items_12mon,,,
2009,JAN,88.108,,,,,87.882,,,,,,,
2009,FEB,88.266,0.18,,,,87.952,0.080,,,,,,
2009,MAR,88.169,-0.11,,,,88.015,0.072,,,,,,
2009,APR,88.295,0.14,0.212,0.849,,88.211,0.223,0.374,1.497,,,,
2009,MAY,88.387,0.10,0.137,0.548,,88.279,0.077,0.372,1.487,,,,
2009,JUN,88.912,0.59,0.843,3.371,,88.392,0.128,0.428,1.713,,,,
2009,JUL,88.922,0.01,0.710,2.840,,88.468,0.086,0.291,1.165,,,,
2009,AUG,89.180,0.29,0.897,3.589,,88.599,0.148,0.362,1.450,,,,
2009,SEP,89.324,0.16,0.463,1.854,,88.755,0.176,0.411,1.643,,,,
2009,OCT,89.663,0.38,0.833,3.333,,89.082,0.368,0.694,2.776,,,,
2009,NOV,89.887,0.25,0.793,3.171,,89.160,0.088,0.633,2.533,,,,
2009,DEC,89.939,0.058,0.689,2.754,,89.236,0.085,0.542,2.168,,,,
2010,JAN,90.136,0.219,0.528,2.110,2.302,89.368,0.148,0.321,1.284,1.691,,,
2010,FEB,90.134,-0.002,0.275,1.099,2.116,89.446,0.087,0.321,1.283,1.699,,,
2010,MAR,90.261,0.141,0.358,1.432,2.373,89.579,0.149,0.384,1.537,1.777,,,
2010,APR,90.310,0.054,0.193,0.772,2.282,89.625,0.051,0.288,1.150,1.603,,,
2010,MAY,90.339,0.032,0.227,0.910,2.208,89.724,0.110,0.311,1.243,1.637,,,
2010,JUN,90.301,-0.042,0.044,0.177,1.562,89.767,0.048,0.210,0.839,1.556,,,
2010,JUL,90.378,0.085,0.075,0.301,1.637,89.769,0.002,0.161,0.643,1.471,,,
2010,AUG,90.502,0.137,0.180,0.722,1.482,89.855,0.096,0.146,0.584,1.418,,,
2010,SEP,90.592,0.099,0.322,1.289,1.420,89.906,0.057,0.155,0.619,1.297,,,
2010,OCT,90.881,0.319,0.557,2.226,1.358,90.043,0.152,0.305,1.221,1.079,,,
2010,NOV,91.062,0.199,0.619,2.475,1.307,90.160,0.130,0.339,1.358,1.122,,,
2010,DEC,91.268,0.226,0.746,2.985,1.478,90.179,0.021,0.304,1.215,1.057,,,
2011,JAN,91.542,0.300,0.727,2.909,1.560,90.372,0.214,0.365,1.462,1.123,,,
2011,FEB,91.797,0.279,0.807,3.229,1.845,90.530,0.175,0.410,1.642,1.212,,,
2011,MAR,92.166,0.402,0.984,3.936,2.111,90.667,0.151,0.541,2.165,1.215,,,
2011,APR,92.557,0.424,1.109,4.435,2.488,90.875,0.229,0.557,2.226,1.395,,,
2011,MAY,92.838,0.304,1.134,4.536,2.766,91.091,0.238,0.620,2.479,1.524,,,
2011,JUN,92.819,-0.020,0.709,2.834,2.788,91.191,0.110,0.578,2.312,1.586,,,
2011,JUL,92.977,0.170,0.454,1.815,2.876,91.326,0.148,0.496,1.985,1.734,,,
2011,AUG,93.196,0.236,0.386,1.542,2.977,91.508,0.199,0.458,1.831,1.840,,,
2011,SEP,93.327,0.141,0.547,2.189,3.019,91.570,0.068,0.416,1.662,1.851,,,
2011,OCT,93.329,0.002,0.379,1.514,2.694,91.614,0.048,0.315,1.261,1.745,,,
2011,NOV,93.520,0.205,0.348,1.391,2.699,91.808,0.212,0.328,1.311,1.828,,,
2011,DEC,93.574,0.058,0.265,1.059,2.527,91.960,0.166,0.426,1.704,1.975,,,
2012,JAN,93.894,0.342,0.605,2.422,2.569,92.235,0.299,0.678,2.711,2.061,,,
2012,FEB,94.104,0.224,0.624,2.498,2.513,92.364,0.140,0.606,2.422,2.026,,,
2012,MAR,94.284,0.191,0.759,3.035,2.298,92.521,0.170,0.610,2.440,2.045,,,
2012,APR,94.408,0.132,0.547,2.190,2.000,92.661,0.151,0.462,1.847,1.965,,,
2012,MAY,94.302,-0.112,0.210,0.842,1.577,92.755,0.101,0.423,1.693,1.827,,,
2012,JUN,94.254,-0.051,-0.032,-0.127,1.546,92.850,0.102,0.356,1.422,1.819,,,
2012,JUL,94.288,0.036,-0.127,-0.508,1.410,92.946,0.103,0.308,1.230,1.774,,,
2012,AUG,94.605,0.336,0.321,1.285,1.512,93.005,0.063,0.270,1.078,1.636,,,
2012,SEP,94.893,0.304,0.678,2.712,1.678,93.119,0.123,0.290,1.159,1.692,,,
2012,OCT,95.174,0.296,0.940,3.759,1.977,93.345,0.243,0.429,1.717,1.889,,,
2012,NOV,95.109,-0.068,0.533,2.131,1.699,93.445,0.107,0.473,1.892,1.783,,,
2012,DEC,95.094,-0.016,0.212,0.847,1.624,93.514,0.074,0.424,1.697,1.690,,,
2013,JAN,95.275,0.190,0.106,0.424,1.471,93.703,0.202,0.384,1.534,1.592,,,
2013,FEB,95.614,0.356,0.531,2.124,1.605,93.805,0.109,0.385,1.541,1.560,,,
2013,MAR,95.488,-0.132,0.414,1.657,1.277,93.891,0.092,0.403,1.613,1.481,,,
2013,APR,95.391,-0.102,0.122,0.487,1.041,93.937,0.049,0.250,0.999,1.377,,,
2013,MAY,95.461,0.073,-0.160,-0.640,1.229,94.047,0.117,0.258,1.032,1.393,,,
2013,JUN,95.673,0.222,0.194,0.775,1.506,94.209,0.172,0.339,1.355,1.464,,,
2013,JUL,95.792,0.124,0.420,1.682,1.595,94.329,0.127,0.417,1.669,1.488,,,
2013,AUG,95.934,0.148,0.495,1.982,1.405,94.431,0.108,0.408,1.633,1.533,,,
2013,SEP,95.976,0.044,0.317,1.267,1.141,94.543,0.119,0.355,1.418,1.529,,,
2013,OCT,96.103,0.132,0.325,1.299,0.976,94.703,0.169,0.396,1.586,1.455,,,
2013,NOV,96.246,0.149,0.325,1.301,1.195,94.860,0.166,0.454,1.817,1.514,,,
2013,DEC,96.414,0.175,0.456,1.825,1.388,94.961,0.106,0.442,1.769,1.547,,,
2014,JAN,96.614,0.207,0.532,2.127,1.405,95.064,0.108,0.381,1.525,1.452,,,
2014,FEB,96.660,0.048,0.430,1.721,1.094,95.109,0.047,0.262,1.050,1.390,,,
2014,MAR,96.815,0.160,0.416,1.664,1.390,95.250,0.148,0.304,1.217,1.447,,,
2014,APR,96.987,0.178,0.386,1.544,1.673,95.413,0.171,0.367,1.468,1.571,,,
2014,MAY,97.147,0.165,0.504,2.015,1.766,95.574,0.169,0.489,1.956,1.624,,,
2014,JUN,97.253,0.109,0.452,1.810,1.651,95.682,0.113,0.454,1.814,1.564,,,
2014,JUL,97.391,0.142,0.417,1.666,1.669,95.848,0.173,0.456,1.824,1.610,,,
2014,AUG,97.379,-0.012,0.239,0.955,1.506,95.885,0.039,0.325,1.302,1.540,,,
2014,SEP,97.413,0.035,0.165,0.658,1.497,96.013,0.133,0.346,1.384,1.555,,,
2014,OCT,97.384,-0.030,-0.007,-0.029,1.333,96.096,0.086,0.259,1.035,1.471,,,
2014,NOV,97.291,-0.095,-0.090,-0.361,1.086,96.181,0.088,0.309,1.235,1.393,,,
2014,DEC,97.120,-0.176,-0.301,-1.203,0.732,96.249,0.071,0.246,0.983,1.356,,,
2015,JAN,96.654,-0.480,-0.750,-2.998,0.041,96.214,-0.036,0.123,0.491,1.210,,,
2015,FEB,96.825,0.177,-0.479,-1.916,0.171,96.324,0.114,0.149,0.595,1.277,,,
2015,MAR,97.008,0.189,-0.115,-0.461,0.199,96.470,0.152,0.230,0.918,1.281,,,
2015,APR,97.094,0.089,0.455,1.821,0.110,96.648,0.185,0.451,1.804,1.294,,,
2015,MAY,97.327,0.240,0.518,2.074,0.185,96.766,0.122,0.459,1.835,1.247,,,
2015,JUN,97.516,0.194,0.524,2.095,0.270,96.882,0.120,0.427,1.708,1.254,,,
2015,JUL,97.605,0.091,0.526,2.105,0.220,96.978,0.099,0.341,1.366,1.179,,,
2015,AUG,97.612,0.007,0.293,1.171,0.239,97.056,0.080,0.300,1.199,1.221,,,
2015,SEP,97.477,-0.138,-0.040,-0.160,0.066,97.196,0.144,0.324,1.296,1.232,,,
2015,OCT,97.477,0.000,-0.131,-0.525,0.095,97.228,0.033,0.258,1.031,1.178,,,
2015,NOV,97.538,0.063,-0.076,-0.303,0.254,97.332,0.107,0.284,1.137,1.197,,,
2015,DEC,97.456,-0.084,-0.022,-0.086,0.346,97.396,0.066,0.206,0.823,1.192,,,
2016,JAN,97.496,0.041,0.019,0.078,0.871,97.567,0.176,0.349,1.395,1.406,,,
2016,FEB,97.445,-0.052,-0.095,-0.381,0.640,97.736,0.173,0.415,1.660,1.466,,,
2016,MAR,97.673,0.234,0.223,0.891,0.686,97.876,0.143,0.493,1.971,1.457,,,
2016,APR,97.993,0.328,0.510,2.039,0.926,98.117,0.246,0.564,2.255,1.520,,,
2016,MAY,98.153,0.163,0.727,2.906,0.849,98.284,0.170,0.561,2.243,1.569,,,
2016,JUN,98.325,0.175,0.668,2.670,0.830,98.386,0.104,0.521,2.084,1.552,,,
2016,JUL,98.342,0.017,0.356,1.425,0.755,98.529,0.145,0.420,1.680,1.599,,,
2016,AUG,98.479,0.139,0.332,1.329,0.888,98.703,0.177,0.426,1.705,1.697,,,
2016,SEP,98.666,0.190,0.347,1.387,1.220,98.834,0.133,0.455,1.821,1.685,,,
2016,OCT,98.868,0.205,0.535,2.139,1.427,98.961,0.128,0.438,1.754,1.782,,,
2016,NOV,98.901,0.033,0.429,1.714,1.397,99.005,0.044,0.306,1.224,1.719,,,
2016,DEC,99.071,0.172,0.410,1.642,1.657,99.120,0.116,0.289,1.157,1.770,,,
2017,JAN,99.451,0.384,0.590,2.359,2.005,99.385,0.267,0.428,1.714,1.863,,,
2017,FEB,99.586,0.136,0.693,2.770,2.197,99.561,0.177,0.562,2.246,1.867,,,
2017,MAR,99.535,-0.051,0.468,1.873,1.906,99.519,-0.042,0.403,1.610,1.679,,,
2017,APR,99.725,0.191,0.276,1.102,1.767,99.723,0.205,0.340,1.360,1.637,,,
2017,MAY,99.682,-0.043,0.096,0.386,1.558,99.803,0.080,0.243,0.972,1.546,,,
2017,JUN,99.766,0.084,0.232,0.928,1.466,99.937,0.134,0.420,1.680,1.576,,,
2017,JUL,99.803,0.037,0.078,0.313,1.486,100.010,0.073,0.288,1.151,1.503,,,
2017,AUG,100.027,0.224,0.346,1.384,1.572,100.118,0.108,0.316,1.262,1.434,,,
2017,SEP,100.400,0.373,0.635,2.542,1.757,100.240,0.122,0.303,1.213,1.423,,,
2017,OCT,100.531,0.130,0.729,2.918,1.682,100.486,0.245,0.476,1.904,1.541,,,
2017,NOV,100.675,0.143,0.648,2.591,1.794,100.535,0.049,0.417,1.666,1.545,,,
2017,DEC,100.821,0.145,0.419,1.677,1.766,100.683,0.147,0.442,1.768,1.577,,,
2018,JAN,101.199,0.375,0.664,2.658,1.758,101.007,0.322,0.518,2.074,1.632,,,
2018,FEB,101.416,0.214,0.736,2.944,1.838,101.198,0.189,0.659,2.638,1.644,,,
2018,MAR,101.524,0.106,0.697,2.789,1.998,101.419,0.218,0.731,2.924,1.909,,,
2018,APR,101.766,0.238,0.560,2.241,2.047,101.602,0.180,0.589,2.356,1.884,,,
2018,MAY,101.941,0.172,0.518,2.071,2.266,101.780,0.175,0.575,2.300,1.981,,,
2018,JUN,102.029,0.086,0.497,1.990,2.268,101.872,0.090,0.447,1.787,1.936,,,
2018,JUL,102.137,0.106,0.365,1.458,2.339,102.006,0.132,0.398,1.591,1.996,,,
2018,AUG,102.208,0.070,0.262,1.048,2.180,102.016,0.010,0.232,0.927,1.896,,,
2018,SEP,102.418,0.205,0.381,1.525,2.010,102.205,0.185,0.327,1.308,1.960,,,
2018,OCT,102.595,0.173,0.448,1.794,2.053,102.366,0.158,0.353,1.412,1.871,,,
2018,NOV,102.630,0.034,0.413,1.652,1.942,102.556,0.186,0.529,2.117,2.010,,,
2018,DEC,102.701,0.069,0.276,1.105,1.865,102.735,0.175,0.519,2.074,2.038,,,
2019,JAN,102.714,0.013,0.116,0.464,1.497,102.878,0.139,0.500,2.001,1.852,,,
2019,FEB,102.862,0.144,0.226,0.904,1.426,102.959,0.079,0.393,1.572,1.740,,,
2019,MAR,103.056,0.189,0.346,1.383,1.509,103.049,0.087,0.306,1.223,1.607,,,
2019,APR,103.371,0.306,0.640,2.559,1.577,103.274,0.218,0.385,1.540,1.646,,,
2019,MAY,103.426,0.053,0.548,2.193,1.457,103.381,0.104,0.410,1.639,1.573,,,
2019,JUN,103.469,0.042,0.401,1.603,1.411,103.586,0.198,0.521,2.084,1.683,,,
2019,JUL,103.608,0.134,0.229,0.917,1.440,103.706,0.116,0.418,1.673,1.667,,,
2019,AUG,103.661,0.051,0.227,0.909,1.422,103.811,0.101,0.416,1.664,1.760,,,
2019,SEP,103.754,0.090,0.275,1.102,1.304,103.889,0.075,0.293,1.170,1.648,,,
2019,OCT,103.961,0.200,0.341,1.363,1.331,104.048,0.153,0.330,1.319,1.643,,,
2019,NOV,103.997,0.035,0.324,1.297,1.332,104.066,0.017,0.246,0.983,1.472,,,
2019,DEC,104.282,0.274,0.509,2.036,1.539,104.279,0.205,0.375,1.502,1.503,,,
2020,JAN,104.458,0.169,0.478,1.912,1.698,104.475,0.188,0.410,1.642,1.552,,,
2020,FEB,104.551,0.089,0.533,2.131,1.642,104.664,0.181,0.575,2.299,1.656,,,
2020,MAR,104.238,-0.299,-0.042,-0.169,1.147,104.586,-0.075,0.294,1.178,1.492,,,
2020,APR,103.796,-0.424,-0.634,-2.535,0.411,104.237,-0.334,-0.228,-0.911,0.932,,,
2020,MAY,103.890,0.091,-0.632,-2.529,0.449,104.364,0.122,-0.287,-1.147,0.951,,,
2020,JUN,104.199,0.297,-0.037,-0.150,0.706,104.527,0.156,-0.056,-0.226,0.908,,,
2020,JUL,104.541,0.328,0.718,2.871,0.901,104.913,0.369,0.649,2.594,1.164,,,
2020,AUG,104.869,0.314,0.942,3.769,1.165,105.229,0.301,0.829,3.315,1.366,,,
2020,SEP,105.048,0.171,0.815,3.259,1.247,105.390,0.153,0.826,3.302,1.445,,,
2020,OCT,105.124,0.072,0.558,2.231,1.119,105.470,0.076,0.531,2.124,1.367,,,
2020,NOV,105.197,0.069,0.313,1.251,1.154,105.552,0.078,0.307,1.228,1.428,,,
2020,DEC,105.707,0.485,0.627,2.509,1.366,105.899,0.329,0.483,1.932,1.554,,,
2021,JAN,106.145,0.414,0.971,3.885,1.615,106.267,0.348,0.756,3.023,1.715,,,
2021,FEB,106.522,0.355,1.260,5.038,1.885,106.499,0.218,0.897,3.589,1.753,,,
2021,MAR,107.066,0.511,1.286,5.143,2.713,106.945,0.419,0.988,3.951,2.256,,,
2021,APR,107.662,0.557,1.429,5.717,3.725,107.594,0.607,1.249,4.995,3.221,,,
2021,MAY,108.207,0.506,1.582,6.327,4.155,108.167,0.533,1.566,6.265,3.644,,,
2021,JUN,108.755,0.506,1.578,6.310,4.372,108.655,0.451,1.599,6.396,3.949,,,
2021,JUL,109.280,0.483,1.503,6.011,4.533,109.120,0.428,1.418,5.673,4.010,,,
2021,AUG,109.740,0.421,1.417,5.667,4.645,109.458,0.310,1.194,4.774,4.019,,,
2021,SEP,110.096,0.324,1.233,4.932,4.805,109.684,0.206,0.947,3.788,4.074,,,
2021,OCT,110.808,0.647,1.398,5.593,5.407,110.217,0.486,1.005,4.021,4.501,,,
2021,NOV,111.494,0.619,1.598,6.393,5.986,110.778,0.509,1.206,4.824,4.951,,,
2021,DEC,112.240,0.669,1.947,7.790,6.180,111.446,0.603,1.606,6.426,5.238,,,
2022,JAN,112.829,0.525,1.824,7.296,6.297,111.973,0.473,1.593,6.373,5.369,,,
