Series ID,Year,Period,Label,cpi,1mon,3mon,3mon_annualized,12mon
CUSR0000SA0,2010,M01,2010 Jan,217.488,0.1,0.5,2.0,2.6
CUSR0000SA0,2010,M02,2010 Feb,217.281,-0.1,0.0,0.0,2.2
CUSR0000SA0,2010,M03,2010 Mar,217.353,0.0,0.0,0.0,2.3
CUSR0000SA0,2010,M04,2010 Apr,217.403,0.0,0.0,0.0,2.2
CUSR0000SA0,2010,M05,2010 May,217.290,-0.1,0.0,0.0,2.0
CUSR0000SA0,2010,M06,2010 Jun,217.199,0.0,-0.1,-0.4,1.1
CUSR0000SA0,2010,M07,2010 Jul,217.605,0.2,0.1,0.4,1.3
CUSR0000SA0,2010,M08,2010 Aug,217.923,0.1,0.3,1.2,1.2
CUSR0000SA0,2010,M09,2010 Sep,218.275,0.2,0.5,2.0,1.1
CUSR0000SA0,2010,M10,2010 Oct,219.035,0.3,0.7,2.8,1.2
CUSR0000SA0,2010,M11,2010 Nov,219.590,0.3,0.8,3.2,1.1
CUSR0000SA0,2010,M12,2010 Dec,220.472,0.4,1.0,4.0,1.4
CUSR0000SA0,2011,M01,2011 Jan,221.187,0.3,1.0,4.0,1.7
CUSR0000SA0,2011,M02,2011 Feb,221.898,0.3,1.1,4.4,2.1
CUSR0000SA0,2011,M03,2011 Mar,223.046,0.5,1.2,4.8,2.6
CUSR0000SA0,2011,M04,2011 Apr,224.093,0.5,1.3,5.2,3.1
CUSR0000SA0,2011,M05,2011 May,224.806,0.3,1.3,5.2,3.5
CUSR0000SA0,2011,M06,2011 Jun,224.806,0.0,0.8,3.2,3.5
CUSR0000SA0,2011,M07,2011 Jul,225.395,0.3,0.6,2.4,3.6
CUSR0000SA0,2011,M08,2011 Aug,226.106,0.3,0.6,2.4,3.8
CUSR0000SA0,2011,M09,2011 Sep,226.597,0.2,0.8,3.2,3.8
CUSR0000SA0,2011,M10,2011 Oct,226.750,0.1,0.6,2.4,3.5
CUSR0000SA0,2011,M11,2011 Nov,227.169,0.2,0.5,2.0,3.5
CUSR0000SA0,2011,M12,2011 Dec,227.223,0.0,0.3,1.2,3.1
CUSR0000SA0,2012,M01,2012 Jan,227.842,0.3,0.5,2.0,3.0
CUSR0000SA0,2012,M02,2012 Feb,228.329,0.2,0.5,2.0,2.9
CUSR0000SA0,2012,M03,2012 Mar,228.807,0.2,0.7,2.8,2.6
CUSR0000SA0,2012,M04,2012 Apr,229.187,0.2,0.6,2.4,2.3
CUSR0000SA0,2012,M05,2012 May,228.713,-0.2,0.2,0.8,1.7
CUSR0000SA0,2012,M06,2012 Jun,228.524,-0.1,-0.1,-0.4,1.7
CUSR0000SA0,2012,M07,2012 Jul,228.590,0.0,-0.3,-1.2,1.4
CUSR0000SA0,2012,M08,2012 Aug,229.918,0.6,0.5,2.0,1.7
CUSR0000SA0,2012,M09,2012 Sep,231.015,0.5,1.1,4.4,1.9
CUSR0000SA0,2012,M10,2012 Oct,231.638,0.3,1.3,5.2,2.2
CUSR0000SA0,2012,M11,2012 Nov,231.249,-0.2,0.6,2.4,1.8
CUSR0000SA0,2012,M12,2012 Dec,231.221,0.0,0.1,0.4,1.8
CUSR0000SA0,2013,M01,2013 Jan,231.679,0.2,0.0,0.0,1.7
CUSR0000SA0,2013,M02,2013 Feb,232.937,0.5,0.7,2.8,2.0
CUSR0000SA0,2013,M03,2013 Mar,232.282,-0.3,0.5,2.0,1.5
CUSR0000SA0,2013,M04,2013 Apr,231.797,-0.2,0.1,0.4,1.1
CUSR0000SA0,2013,M05,2013 May,231.893,0.0,-0.4,-1.6,1.4
CUSR0000SA0,2013,M06,2013 Jun,232.445,0.2,0.1,0.4,1.7
CUSR0000SA0,2013,M07,2013 Jul,232.900,0.2,0.5,2.0,1.9
CUSR0000SA0,2013,M08,2013 Aug,233.456,0.2,0.7,2.8,1.5
CUSR0000SA0,2013,M09,2013 Sep,233.544,0.0,0.5,2.0,1.1
